CommonName,Scientific Name,AOUcode,Habitat,seismic50mCNT,seismic100mCNT,seismicUnlCNT,pipeline50mCNT,pipeline100mCNT,pipelineUnlCNT,wellpad50mCNT,wellpad100mCNT,wellpadUnlCNT,seismic50m,seismic100m,seismicUnl,pipeline50m,pipeline100m,pipelineUnl,wellpad50m,wellpad100m,wellpadUnl
Le Conte's Sparrow,Ammodramus lecontei,LCSP,OPEN,11/0,16/3,17/3,0/0,0/0,0/0,7/0,7/0,7/0,8.24 (2.43-27.88),11.72 (4.42-31.08),7.63 (3.13-18.61),4.06 (1.45-11.37),1.95 (0.88-4.28),2.59 (1.22-5.47),17.87 (6.27-50.95),8.14 (3.34-19.86),8.52 (3.83-18.99)
Least Flycatcher,Empidonax minimus,LEFL,OLD,41/52,97/101,109/119,32/54,46/71,46/77,33/26,57/29,57/29,0.61 (0.38-0.97),0.94 (0.68-1.31),0.91 (0.67-1.24),0.83 (0.56-1.23),0.85 (0.61-1.19),0.82 (0.60-1.14),1.19 (0.78-1.82),1.67 (1.16-2.39),1.66 (1.16-2.36)
Lesser Yellowlegs,Tringa flavipes,LEYE,AQU,3/2,9/2,16/14,0/0,0/0,0/0,0/0,0/0,0/0,0.12 (0.01-1.52),1.17 (0.45-3.04),0.66 (0.33-1.33),,,,2.20 (0.10-38.64),0.40 (0.06-2.81),0.32 (0.04-2.25)
Lincoln's Sparrow,Melospiza lincolnii,LISP,SHR,52/18,88/38,90/47,15/1,24/2,26/2,27/2,40/6,40/6,1.34 (0.98-1.84),1.16 (0.91-1.49),1.09 (0.85-1.38),2.28 (1.62-3.48),2.29 (1.71-3.06),2.44 (1.84-3.24),1.98 (1.37-2.85),2.00 (1.50-2.64),1.92 (1.45-2.53)
Magnolia Warbler,Setophaga magnolia,MAWA,SHR,110/187,213/445,234/484,10/37,18/68,21/77,5/6,13/8,13/8,0.89 (0.66-1.21),0.89 (0.70-1.12),0.91 (0.73-1.14),0.64 (0.40-1.04),0.57 (0.40-0.82),0.60 (0.43-0.85),0.95 (0.54-1.68),1.10 (0.73-1.65),1.10 (0.74-1.65)
Mourning Warbler,Geothlypis philadelphia,MOWA,SHR,3/6,10/25,20/38,0/0,1/0,1/0,12/5,22/11,22/11,1.23 (0.59-2.55),1.33 (0.76-2.32),1.34 (0.84-2.12),1.01 (0.27-3.84),1.48 (0.49-4.46),1.36 (0.46-4.04),0.80 (0.39-1.67),0.88 (0.50-1.56),0.82 (0.47-1.45)
Northern Flicker,Colaptes auratus,NOFL,PARK,4/0,15/5,20/22,3/1,4/2,5/9,4/4,10/5,10/6,7.46 (2.45-22.73),2.12 (1.15-3.90),0.87 (0.55-1.36),10.27 (3.12-33.73),4.10 (1.78-9.45),1.32 (0.70-2.51),1.35 (0.49-3.70),2.58 (1.30-5.09),1.81 (1.02-3.22)
Northern Waterthrush,Parkesia novaeboracensis,NOWA,SHR,8/1,23/5,29/11,1/11,4/21,5/23,0/1,1/2,1/3,4.65 (1.25-17.25),2.78 (1.35-5.72),3.32 (1.57-7.01),0.08 (0.01-0.53),0.40 (0.16-0.99),0.43 (0.19-0.97),,0.90 (0.20-3.99),0.62 (0.15-2.52)
Orange-crowned Warbler,Oreothlypis celata,OCWA,SHR,3/0,6/0,8/0,0/0,0/0,0/0,1/4,7/5,7/5,0.67 (0.23-1.92),1.13 (0.46-2.77),1.39 (0.59-3.26),5.65 (2.13-14.97),5.57 (1.98-15.64),5.86 (2.06-16.65),1.93 (0.74-5.04),2.38 (1.14-4.98),2.29 (1.10-4.75)
Ovenbird,Seiurus aurocapillus,OVEN,ALL,80/147,247/449,396/644,30/100,91/298,116/361,12/71,97/137,102/143,0.81 (0.65-1.01),0.98 (0.84-1.13),0.96 (0.85-1.09),0.98 (0.73-1.33),0.77 (0.64-0.92),0.76 (0.64-0.89),0.31 (0.21-0.45),0.89 (0.74-1.07),0.88 (0.74-1.05)
